地域名,センター,燃やせるごみ,燃やせないごみ,危険物・有害物,ペット・プラ,びん,かん,古紙,燃やせる粗大ごみ,燃やせない粗大ごみ
金城自治区,KG-03,月 金,木4,木4,水,木3,木1,木2,火1,木4
三隅自治区 西の谷,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 宮ヶ迫,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 床並,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 栃ノ木,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 坂ヶ垰,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 岡見郷,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 東高縄,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 西高縄,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 朝日ヶ丘,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 中山,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 青浦,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 須津,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 松原,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 矢原,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 黒沢1区～7区,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
三隅自治区 上古和,MA-04,火 金,20180129 20180226 20180319,20180129 20180226 20180319,水,月1,月1,月2,20180125 20180222 20180326,20180129 20180226 20180319
